Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.47114266067216953,0.4541982054696792,0.8320383912248629,0.9768230638778971,0.7134599504541701,0.8246241947029349
2,0.23947859878326233,0.32119764730098055,0.9033363802559415,0.9725768321513002,0.8492981007431875,0.9067665858496804
3,0.17372571549244126,0.24522869470013037,0.9369287020109689,0.948203842940685,0.9372419488026424,0.9426910299003323
4,0.13273162060475655,0.45631435925745784,0.9149908592321755,0.9727859778597786,0.870767960363336,0.918954248366013
5,0.09569932109597941,0.36756928251939613,0.9275594149908593,0.9659141212926073,0.9009083402146986,0.9322794274727623
6,0.06375794824702924,0.5211817254242963,0.9339579524680073,0.9659239842726082,0.9128819157720892,0.9386542135427722
7,0.04968325246578049,0.6075678292396453,0.928473491773309,0.9684584629053754,0.9000825763831544,0.9330194735715814
8,0.036411763291204116,0.49300369614687717,0.9394424131627057,0.9537231804795961,0.9360033030553262,0.9447801625338612
9,0.026194942659984868,0.6794906766460657,0.9239031078610603,0.969438202247191,0.8905862923203963,0.9283408650742414
10,0.01621306783642858,0.6684487463343078,0.926873857404022,0.9679430097951914,0.8976052848885219,0.9314481576692374
