Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.4682667116610726,0.3389896303245349,0.8855118829981719,0.9061310782241014,0.8848059454995871,0.8953415500313349
2,0.3312068553754167,0.3293057836525917,0.9065356489945156,0.9147095179233622,0.916597853014038,0.9156527118993607
3,0.23671137818335733,0.3976932545264768,0.9028793418647166,0.936980306345733,0.8839801816680429,0.9097089441257701
4,0.17820706119959745,0.5436916984742998,0.9124771480804388,0.936990998714102,0.902559867877787,0.919453207150368
5,0.1410073177014063,0.615687694989543,0.9058500914076782,0.9522952295229523,0.8736581337737407,0.9112833763996555
6,0.08248192863817679,0.596992670582004,0.92481718464351,0.9301274147143445,0.9343517753922378,0.9322348094747683
