Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.4682122439309193,0.22235932923934382,0.9163619744058501,0.9244426094137077,0.9244426094137077,0.9244426094137077
2,0.1994971489248267,0.16378062862255002,0.9344149908592322,0.9204411185506105,0.9649050371593724,0.9421487603305785
3,0.13930798496670313,0.17182431701044348,0.9405850091407678,0.9576629974597799,0.9339388934764657,0.9456521739130435
4,0.09348775196759315,0.16780558160162004,0.9453839122486288,0.9538461538461539,0.9471511147811725,0.9504868448311581
5,0.07683945617644476,0.21795725005263786,0.9430987202925045,0.9609673313534154,0.935177539223782,0.9478970495919649
6,0.056730205709914286,0.23612065418780295,0.9426416819012797,0.9684937419076391,0.9265070189925682,0.9470352395020046
7,0.04123347616519411,0.28199032919213135,0.9435557586837294,0.9673399226471853,0.9293971924029728,0.9479890503263845
8,0.031736804922962145,0.3091046683366585,0.9476691042047533,0.966794380587484,0.9376548307184145,0.9520016767973172
9,0.02354310474528953,0.343997200667811,0.9504113345521024,0.9653862389193753,0.944260941370768,0.9547067418075559
10,0.016635956106880376,0.37843953100100014,0.9451553930530164,0.9666381522668948,0.9331131296449215,0.9495798319327731
