Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.6482823061088643,0.3567016867659034,0.8889396709323584,0.8522561863173217,0.9669694467382328,0.9059961315280464
2,0.2979841641444515,0.3925577021106692,0.9149908592321755,0.9193944353518821,0.9277456647398844,0.9235511713933415
3,0.22864480490026023,0.5042087216562404,0.920018281535649,0.9211382113821138,0.935590421139554,0.9283080704629251
4,0.15942149690820895,0.4873301640064842,0.9175045703839122,0.9270617488603399,0.9236168455821635,0.9253360910031023
5,0.10053371420487113,0.5963201261578486,0.9177330895795247,0.9317420435510888,0.9186622625928984,0.9251559251559252
