Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.3120819045351655,0.06767910941049314,0.9842321755027422,0.9937054133445237,0.9777043765483072,0.9856399583766909
2,0.04973270673187195,0.05294613488745413,0.9910877513711152,0.988519885198852,0.9954582989265071,0.9919769594733594
3,0.03273535893420621,0.024569619214505158,0.9947440585009141,0.9946391752577319,0.9958711808422791,0.9952547967815143
4,0.016645600372122097,0.025635976048435774,0.9945155393053017,0.9934156378600824,0.9966969446738233,0.9950535861500412
5,0.007972613038318734,0.03342026598826657,0.9958866544789763,0.9958745874587459,0.9966969446738233,0.9962855963681386
6,0.007616271534895013,0.044120208994425814,0.9949725776965265,0.995049504950495,0.9958711808422791,0.9954601733388362
7,0.00530383819824049,0.04890558390061094,0.9945155393053017,0.9926047658175843,0.9975227085053675,0.9950576606260296
8,0.004302645235714827,0.06522433128958918,0.9938299817184644,0.9905776321179844,0.9983484723369116,0.9944478716841456
9,0.001657909105461133,0.043900037440660726,0.9961151736745887,0.9954676555418212,0.9975227085053675,0.9964941224994844
10,0.0005441234651211355,0.05616531458195671,0.9947440585009141,0.9926078028747434,0.9979355904211396,0.9952645666049001
