Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.5546078487251797,0.26485566600509314,0.8855118829981719,0.8902885006095084,0.9046242774566474,0.8973991398730289
2,0.25340069751561123,0.1864897131352969,0.9243601462522852,0.9124260355029585,0.9549958711808423,0.9332257413758321
3,0.17179431115705385,0.18742889028204524,0.9309872029250457,0.9409317803660566,0.9339388934764657,0.9374222958972234
4,0.12520125708338825,0.16172325538228388,0.9396709323583181,0.9469759734879868,0.9438480594549958,0.9454094292803971
5,0.08968696848108658,0.23983603523052094,0.930073126142596,0.9644424934152765,0.9071015689512799,0.9348936170212766
6,0.06615965190109029,0.29014882398136566,0.9319012797074955,0.968667255075022,0.9062758051197357,0.9364334470989761
7,0.0531470901300399,0.3273686686471869,0.9364716636197441,0.9546225614927905,0.9293971924029728,0.9418410041841004
8,0.039746249508365784,0.4563015969879811,0.9282449725776966,0.9709562109025917,0.8971924029727498,0.932618025751073
9,0.034934983928680434,0.43810743233125715,0.9325868372943327,0.9695364238410596,0.9066886870355079,0.9370599530616599
10,0.028616061579210827,0.41956309782788437,0.9367001828153565,0.9636835278858625,0.9203137902559868,0.9414994720168954
