Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.10358946811072296,0.02307877158582547,0.9931444241316271,0.9958540630182421,0.9917423616845582,0.9937939594538684
2,0.01640954251165003,0.020268268485732648,0.9940585009140768,0.9942244224422442,0.9950454170107349,0.9946347503095336
3,0.006168460656270929,0.024911822494268696,0.9945155393053017,0.9938220757825371,0.9962840627580511,0.9950515463917525
4,0.003702059982232244,0.02628874342871227,0.9947440585009141,0.9950474618241849,0.9954582989265071,0.9952528379772961
5,0.001450219435056654,0.027664554204929397,0.9947440585009141,0.9970990468296727,0.9933938893476466,0.9952430196483971
6,0.0004997292953108724,0.02985807166110832,0.9945155393053017,0.9926047658175843,0.9975227085053675,0.9950576606260296
7,0.00010792071585380627,0.02817388482219402,0.9947440585009141,0.9962763756723211,0.9942196531791907,0.9952469518495557
8,2.250993177525911e-05,0.027292064371561224,0.995201096892139,0.9962794543199669,0.9950454170107349,0.9956620532947738
9,0.00023571751991642337,0.02718491228189759,0.9954296160877514,0.9954620462046204,0.9962840627580511,0.9958728848534875
10,1.7442776781288096e-05,0.027441692459105407,0.9954296160877514,0.9958711808422791,0.9958711808422791,0.9958711808422791
