Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.4831417320418532,0.23271270580317852,0.9076782449725777,0.8935257410296412,0.9459124690338563,0.918973124749298
2,0.22615947238103898,0.21078218782089486,0.918418647166362,0.9682539682539683,0.8815028901734104,0.9228441754916793
3,0.151706414052496,0.17713844810823237,0.9357861060329068,0.9600343790287924,0.9223781998348473,0.9408296483470204
4,0.10689797324418496,0.22889801923586667,0.9325868372943327,0.9658344283837057,0.9104046242774566,0.9373007438894793
5,0.0830537459123064,0.2503488320597264,0.9330438756855576,0.9622231871471993,0.9149463253509497,0.937989417989418
