Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.505340152886332,0.2948975076450266,0.878199268738574,0.9306885544915641,0.8426919900908341,0.8845070422535212
2,0.2720996234974349,0.19155133138988575,0.9218464351005484,0.9193548387096774,0.9413707679603633,0.9302325581395349
3,0.20040692577672267,0.3096711164557912,0.9019652650822669,0.9720511605873994,0.847233691164327,0.9053606882859033
4,0.1628523617140413,0.24505419500519898,0.9364716636197441,0.9534686971235194,0.930635838150289,0.9419139155871291
5,0.13086123986749787,0.3800341759078615,0.9241316270566727,0.9694519317160827,0.8909991742361685,0.9285714285714286
6,0.10285778842637391,0.38002171356461373,0.9346435100548446,0.9568006843455945,0.9236168455821635,0.9399159663865546
7,0.08192035379446641,0.41280511099133727,0.9305301645338209,0.9648814749780509,0.9075144508670521,0.9353191489361702
8,0.05627977010739566,0.5250230767706429,0.926416819012797,0.9670818505338078,0.8976052848885219,0.9310492505353319
9,0.04826435320591894,0.5639912060643544,0.9252742230347349,0.9670084707980383,0.8955408753096614,0.929903536977492
