Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.3328112123010002,0.19033260687669046,0.9241316270566727,0.9117415287628053,0.9554087530966143,0.9330645161290323
2,0.2173542361384616,0.35669883407217307,0.8809414990859232,0.9812658227848101,0.8001651527663088,0.8815101205367296
3,0.16622789315925562,0.2730105677687556,0.9236745886654479,0.9736842105263158,0.8860445912469034,0.9277993947254648
4,0.12934368220687886,0.3788293702817376,0.9341864716636198,0.9667541557305337,0.9124690338563171,0.9388275276125744
5,0.10048308679830009,0.4241537853425091,0.9328153564899452,0.9642233856893543,0.9124690338563171,0.9376325837929571
