Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.22753586933948308,0.07617850624122674,0.9901736745886655,0.98531211750306,0.9971098265895953,0.9911758670223682
2,0.055740271951042725,0.04443387848756886,0.9947440585009141,0.9934183463595229,0.9971098265895953,0.995260663507109
3,0.02853156014279954,0.06432197616880962,0.9947440585009141,0.9954564229657167,0.9950454170107349,0.9952508775552343
4,0.014674453208455108,0.04969003992417956,0.995201096892139,0.9942363112391931,0.9971098265895953,0.9956709956709957
5,0.006899234917109681,0.06127586032558875,0.9954296160877514,0.9950535861500412,0.9966969446738233,0.9958745874587459
