Epoch,sequential
1,1.3455358743667603
2,1.3453139066696167
3,1.3446966409683228
4,1.3441848754882812
5,1.3438225984573364
6,1.3433949947357178
7,1.3432992696762085
8,1.3432189226150513
9,1.3431657552719116
