Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.4105943666315035,0.33283202395940975,0.8905393053016454,0.9700048379293662,0.8278282411230388,0.8932947204277122
2,0.23380051170909752,0.20252513975804895,0.9348720292504571,0.9130266718206417,0.9752270850536746,0.9431024156518267
3,0.16814625081920467,0.3128690535111832,0.9325868372943327,0.9720372836218375,0.9042113955408753,0.9368983957219251
4,0.11511577959577618,0.24256746953560518,0.946983546617916,0.953228476821192,0.9508670520231214,0.9520463001240181
5,0.07997856138937194,0.2764024418584152,0.9524680073126143,0.9485413290113452,0.9665565648224608,0.9574642126789366
6,0.047775839641237564,0.38927514471714425,0.9437842778793418,0.9780316344463972,0.9190751445086706,0.9476372924648787
7,0.029884077636530865,0.49924190902553395,0.9526965265082267,0.9620358781810596,0.9521056977704376,0.9570450300892301
8,0.021128543786348306,0.5786171655857457,0.9453839122486288,0.9760139555167903,0.9240297274979355,0.9493107104984093
9,0.012422313074660206,0.5920819540702845,0.9476691042047533,0.9716129032258064,0.9327002477291495,0.9517590056878028
