Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.40619105664303073,0.2979851335059362,0.899908592321755,0.9605385329619313,0.8542526837324526,0.9042832167832168
2,0.22934085736224902,0.17959649394921462,0.9362431444241316,0.9459009571369122,0.9384805945499587,0.9421761658031088
3,0.17755314675204137,0.20287040565107,0.9472120658135283,0.9543757776856077,0.9500412881915772,0.952203600248293
4,0.13471288342090856,0.3708457290405579,0.9414990859232175,0.9696444058976583,0.9232039636663915,0.9458544839255499
5,0.09957721002734708,0.3790696436405055,0.9458409506398537,0.9702970297029703,0.930635838150289,0.9500526870389884
6,0.06663350688455527,0.32814775227282356,0.9499542961608776,0.9576235978396344,0.9516928158546656,0.9546489956512736
7,0.049214375082993554,0.36817467517505936,0.9446983546617916,0.9606931530008453,0.9384805945499587,0.9494569757727652
8,0.038105158181186635,0.49797702495072516,0.9497257769652651,0.9534596375617792,0.9558216350123865,0.954639175257732
9,0.02255088545935837,0.6698961861163171,0.94172760511883,0.9721132897603486,0.921139554087531,0.945940216239135
10,0.012247470893673607,0.6340890186016116,0.9483546617915904,0.9656488549618321,0.9401321222130471,0.9527196652719665
