model_path,model_type,pretrained_name,use_conceptnet,text_format,max_length,batch_size,loss,accuracy,precision,recall,f1
result/distilbert_all_with_conceptnet_546578/final_best_model/sarcasm_gnn_model_tuned_distilbert_2026-04-07_01-30-37.pt,distilbert,distilbert-base-uncased,True,all,256,32,0.17620884810841278,0.975091407678245,0.9856358259400084,0.9688538205980066,0.9771727748691099
result/distilbert_all_without_conceptnet_546579/final_best_model/sarcasm_gnn_model_tuned_distilbert_2026-04-06_14-45-50.pt,distilbert,distilbert-base-uncased,False,all,128,16,0.21576844602735262,0.9744058500914077,0.9856175972927242,0.967607973421927,0.9765297569153395
result/roberta_all_with_conceptnet_546571/final_best_model/sarcasm_gnn_model_tuned_roberta_2026-04-06_13-01-13.pt,roberta,roberta-base,True,all,128,16,0.13520572554316462,0.9849177330895795,0.9883236030025021,0.9842192691029901,0.9862671660424469
result/roberta_all_without_conceptnet_546572/final_best_model/sarcasm_gnn_model_tuned_roberta_2026-04-06_08-45-18.pt,roberta,roberta-base,False,all,512,32,0.14678842605048195,0.9842321755027422,0.9887170915169243,0.9825581395348837,0.9856279941678817
