Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.5069131277292858,0.2342395365958775,0.9092778793418648,0.8932038834951457,0.9496284062758051,0.9205523313988393
2,0.24478961328661633,0.23775807832857174,0.9154478976234004,0.9745605920444034,0.869942196531792,0.9192844677137871
3,0.1879152308053555,0.1483335830288239,0.9451553930530164,0.9367493995196157,0.9661436829066887,0.9512195121951219
4,0.14071271811536018,0.33090526571703094,0.9446983546617916,0.9670094258783205,0.9318744838976053,0.9491169049621531
5,0.0974922576846146,0.2524801736811102,0.951782449725777,0.9596673596673597,0.9529314616019818,0.9562875492024031
6,0.058733082829822994,0.344193157551486,0.9542961608775137,0.9648535564853556,0.9521056977704376,0.9584372402327515
7,0.04310627645874562,0.45279916663724074,0.9410420475319927,0.974561403508772,0.9174236168455822,0.9451297320289238
8,0.032184462845493735,0.4272880918478327,0.9494972577696527,0.9717102443206173,0.9360033030553262,0.9535226077812828
9,0.018175968372257663,0.49753963675588747,0.9410420475319927,0.9753954305799648,0.916597853014038,0.9450830140485313
10,0.012098805769105877,0.4344663447344433,0.9531535648994516,0.9719029374201787,0.9426094137076796,0.95703206874869
