Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.4482216563066706,0.2749051421126147,0.8923674588665448,0.9444191343963554,0.8559042113955408,0.8979857050032488
2,0.2607286639585178,0.21932264081589933,0.918418647166362,0.9619686800894854,0.8876961189099918,0.9233412067854843
3,0.20445755679039404,0.20835141092708784,0.9314442413162706,0.9633187772925764,0.9108175061932288,0.9363327674023769
4,0.1582044393112901,0.3986732701734273,0.9325868372943327,0.9566337483898669,0.9199009083402147,0.9379078088823406
5,0.10482989769881464,0.37961471556347465,0.9382998171846435,0.9555461473327689,0.9318744838976053,0.943561872909699
6,0.06946774304743375,0.6190845514084815,0.9188756855575868,0.9704142011834319,0.8802642444260942,0.9231435375622429
7,0.039096257613118,0.7213856901760064,0.9223034734917733,0.9757769652650823,0.8815028901734104,0.9262472885032538
8,0.03255592604280448,0.8472846984312425,0.9293875685557587,0.9701824655095683,0.9000825763831544,0.9338188048832726
9,0.01802366350369994,0.9284623634415745,0.9282449725776966,0.9769230769230769,0.8914120561519405,0.9322107081174439
10,0.01116918665814653,0.8221596899894265,0.9344149908592322,0.9667686926104067,0.9128819157720892,0.939052877468677
