Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.37566539212997807,0.26548543751212583,0.8891681901279708,0.8497652582159625,0.9715111478117259,0.9065690618377962
2,0.2163204944739487,0.23952834227336503,0.9188756855575868,0.8985730813729271,0.9620148637489678,0.9292123629112662
3,0.16187483863010865,0.2749336369967226,0.9259597806215722,0.9104068857589984,0.9607762180016516,0.9349136199276818
4,0.10763610231850591,0.5399462287978034,0.9163619744058501,0.9672727272727273,0.8786127167630058,0.9208135006490696
5,0.08586012160520747,0.41298553676862837,0.9335009140767825,0.9347205222358221,0.9459124690338563,0.9402831931048635
6,0.04573089045345372,0.5881123329210382,0.9330438756855576,0.9360917656698075,0.9434351775392238,0.9397491260538762
7,0.031518544007122534,0.6054426688431135,0.9367001828153565,0.9386503067484663,0.9475639966969447,0.943086089993836
8,0.017693766680200364,0.6855488954142565,0.9348720292504571,0.9406185567010309,0.9417836498761354,0.9412007427274602
