Epoch,train_loss,test_loss,test_acc,test_prec,test_rec,test_f1
1,0.4750571149275451,0.2780464503669391,0.8928244972577697,0.9192786603692572,0.8839801816680429,0.9012839402231109
2,0.22996717012894594,0.18509473200516952,0.9373857404021938,0.9558573853989814,0.9298100743187449,0.942653830054416
3,0.19154456626990343,0.20888448452108996,0.9453839122486288,0.9591922591501894,0.9413707679603633,0.9501979579078975
4,0.1479375516884672,0.2892075922656765,0.9440127970749543,0.9459238017206063,0.9533443435177539,0.949619576393173
5,0.11684122772748191,0.3227024199167331,0.9444698354661791,0.971033290099438,0.9273327828241124,0.9486800422386483
6,0.07450500077707829,0.35351798513023996,0.95018281535649,0.9553719008264463,0.9545829892650702,0.9549772821148286
7,0.05582089612998532,0.5339138941925132,0.9353290676416819,0.9768167632634864,0.9046242774566474,0.9393354769560557
8,0.03794617203534729,0.4360122128124333,0.9456124314442413,0.9690721649484536,0.9314616019818331,0.9498947368421052
9,0.023090949047756378,0.48905410459306464,0.9442413162705667,0.9689922480620154,0.9289843104872006,0.948566610455312
10,0.019783795174052793,0.5046158286014951,0.9483546617915904,0.9692307692307692,0.9364161849710982,0.9525409491810164
